#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
uc011nae.2	chrY	+	142990	170022	142990	142990	9	142990,148148,150833,155399,157314,158165,159701,165763,169259,	143061,148351,150981,155536,157443,158321,159885,166059,170022,		uc011nae.2
uc004fop.3	chrY	+	148060	170022	150854	166002	7	148060,150833,155399,157314,158165,159701,165763,	148351,150981,155536,157443,158321,159885,170022,	Q9NUJ7	uc004fop.3
uc004for.1	chrY	-	171425	180887	171740	180886	6	171425,174026,174398,178085,179432,180816,	171864,174179,174547,178294,179591,180887,	O43824	uc004for.1
uc011naf.1	chrY	-	178554	180887	178866	180826	2	178554,180816,	179591,180887,	B4DPB2	uc011naf.1
uc011nag.2	chrY	+	231384	232054	231384	231384	1	231384,	232054,		uc011nag.2
uc004fos.3	chrY	-	244667	252254	245101	251653	5	244667,249338,249512,251499,252041,	245252,249445,249631,251675,252254,	Q9Y5P8-2	uc004fos.3
uc004fot.3	chrY	-	244667	297690	245101	297426	13	244667,249338,249512,251499,252041,252617,256250,256908,257435,257968,258324,272139,297102,	245252,249445,249631,251675,252131,252666,256407,256995,257510,258071,258428,272325,297690,	Q9Y5P8	uc004fot.3
uc011nah.2	chrY	-	255630	297690	255846	272166	8	255630,256908,257435,257968,258324,272139,272989,297102,	256407,256995,257510,258071,258428,272325,273067,297690,	B4DE79	uc011nah.2
uc004fou.1	chrY	+	535078	557558	541632	555371	6	535078,541200,545352,551555,551733,555125,	535337,541909,545561,551613,551822,557558,	O15266	uc004fou.1
uc004fov.3	chrY	+	535078	570146	541632	569564	6	535078,541200,545352,551555,551733,569519,	535337,541909,545561,551613,551822,570146,	O15266-2	uc004fov.3
uc004fow.2	chrY	+	750013	750044	750013	750013	1	750013,	750044,		uc004fow.2
uc004fox.2	chrY	-	1264886	1281529	1264889	1281527	6	1264886,1267418,1271271,1275325,1277698,1281448,	1265014,1267581,1271405,1275492,1277801,1281529,	Q9HC73	uc004fox.2
uc004foy.2	chrY	-	1264886	1281529	1264889	1275338	5	1264886,1267418,1271271,1275325,1281448,	1265014,1267581,1271405,1275492,1281529,	Q5G7M1	uc004foy.2
uc022ciq.1	chrY	-	1264886	1281643	1264889	1281527	6	1264886,1267418,1271271,1275325,1277698,1281448,	1265014,1267581,1271405,1275492,1277801,1281643,	Q9HC73	uc022ciq.1
uc022cir.1	chrY	-	1264886	1606037	1264889	1281527	7	1264886,1267418,1271271,1275325,1277698,1281448,1605813,	1265014,1267581,1271405,1275492,1277801,1281529,1606037,	Q9HC73	uc022cir.1
uc011nai.1	chrY	+	1337692	1374711	1351596	1374628	13	1337692,1343647,1351570,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1372815,1374338,1374520,	1337772,1343735,1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1372912,1374420,1374711,	P15509-2	uc011nai.1
uc010nvt.2	chrY	+	1337692	1378828	1351596	1378372	14	1337692,1343647,1351301,1351570,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1372815,1374338,1378294,	1337772,1343711,1351453,1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1372912,1374420,1378828,	P15509	uc010nvt.2
uc004fpd.2	chrY	+	1337692	1378828	1351596	1374394	9	1337692,1343647,1351570,1354670,1357411,1357651,1359229,1374338,1378294,	1337772,1343735,1351672,1354813,1357535,1357781,1359402,1374420,1378828,	J3JS75	uc004fpd.2
uc004fpa.2	chrY	+	1337692	1378828	1351596	1378372	13	1337692,1343647,1351570,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1372815,1374338,1378294,	1337772,1343735,1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1372912,1374420,1378828,	P15509	uc004fpa.2
uc004fpb.2	chrY	+	1337692	1378828	1351596	1378372	13	1337692,1343647,1351570,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1372815,1374338,1378294,	1337772,1343711,1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1372912,1374420,1378828,	P15509	uc004fpb.2
uc010nvu.2	chrY	+	1337692	1378828	1337692	1337692	12	1337692,1343647,1351570,1354670,1357411,1357651,1359229,1363220,1364319,1372815,1374338,1378294,	1337772,1343735,1351672,1354813,1357535,1357781,1359402,1363354,1364349,1372912,1374420,1378828,		uc010nvu.2
uc011naj.1	chrY	+	1337692	1378828	1357707	1378372	11	1337692,1351570,1357411,1357651,1359229,1363220,1364319,1369383,1372815,1374338,1378294,	1337772,1351672,1357535,1357781,1359402,1363354,1364349,1369519,1372912,1374420,1378828,	NP_001155004	uc011naj.1
uc004fpc.2	chrY	+	1337692	1378828	1351596	1378482	11	1337692,1343647,1351570,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1378294,	1337772,1343735,1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1378828,	J3JS77	uc004fpc.2
uc010nvv.2	chrY	+	1351570	1378828	1351596	1378372	12	1351570,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1372153,1372815,1374338,1378294,	1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1372255,1372912,1374420,1378828,	P15509-7	uc010nvv.2
uc004fpe.2	chrY	+	1351570	1378828	1351596	1374394	10	1351570,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1374338,1378294,	1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1374420,1378828,	I7HK28	uc004fpe.2
uc022cis.1	chrY	+	1362810	1362885	1362810	1362810	1	1362810,	1362885,		uc022cis.1
uc004fpf.3	chrY	+	1405508	1451582	1410658	1451358	12	1405508,1410620,1414208,1417323,1420992,1421214,1425113,1427753,1434030,1447551,1449915,1451283,	1405819,1410722,1414327,1417438,1421125,1421399,1425229,1427780,1434145,1447657,1449997,1451582,	P26951	uc004fpf.3
uc011nak.3	chrY	+	1405508	1451582	1410658	1451358	10	1405508,1410620,1420992,1421214,1425113,1427753,1434030,1447551,1449915,1451283,	1405819,1410722,1421125,1421399,1425229,1427780,1434145,1447657,1449997,1451582,	NP_001254642	uc011nak.3
uc004fpg.3	chrY	-	1455044	1461039	1455494	1460902	4	1455044,1456171,1458133,1460791,	1455652,1456312,1458620,1461039,	P12236	uc004fpg.3
uc004fpi.3	chrY	+	1469423	1482479	1469423	1469423	4	1469423,1470354,1472353,1481635,	1469479,1471118,1472478,1482479,		uc004fpi.3
uc004fpj.3	chrY	+	1469423	1484314	1469423	1469423	6	1469423,1470354,1472353,1481635,1482654,1483635,	1469479,1471118,1472478,1481781,1483203,1484314,		uc004fpj.3
uc004fpk.2	chrY	-	1472031	1521870	1472161	1521733	13	1472031,1481624,1486865,1487874,1490550,1494417,1496626,1501161,1503914,1504586,1507989,1511078,1521640,	1472382,1481747,1487009,1488007,1490735,1494580,1497014,1501270,1503976,1504651,1508037,1511210,1521870,	O95671	uc004fpk.2
uc004fpl.2	chrY	-	1472031	1521870	1472161	1521733	12	1472031,1481624,1486865,1487874,1490550,1494417,1496626,1501161,1503914,1504586,1511078,1521640,	1472382,1481747,1487009,1488007,1490735,1494580,1497014,1501270,1503976,1504651,1511210,1521870,	O95671-2	uc004fpl.2
uc011nal.2	chrY	-	1472031	1521870	1472161	1511140	12	1472031,1481624,1486865,1487874,1490550,1494417,1496626,1501161,1503914,1507989,1511078,1521640,	1472382,1481747,1487009,1488007,1490735,1494580,1497014,1501270,1503976,1508037,1511210,1521870,	E7ER97	uc011nal.2
uc011nam.2	chrY	-	1472031	1522655	1472161	1511129	13	1472031,1481624,1486865,1487874,1490550,1494417,1496626,1501161,1503914,1504586,1507989,1511078,1522510,	1472382,1481747,1487009,1488007,1490735,1494580,1497014,1501270,1503976,1504651,1508037,1511210,1522655,	NP_001166944	uc011nam.2
uc004fpm.2	chrY	-	1531465	1606037	1534371	1535451	2	1531465,1605813,	1535475,1606037,	Q86VZ1	uc004fpm.2
uc022cit.1	chrY	-	1534371	1535451	1534371	1535451	1	1534371,	1535451,	Q86VZ1	uc022cit.1
uc010nvx.1	chrY	+	1660485	1669196	1662355	1668514	4	1660485,1662336,1664276,1668084,	1660662,1663117,1664425,1669196,	Q02040-3	uc010nvx.1
